Day,ID,HeadOrder,Orderer,Script
8,1,딸기 쇼트 케이트,쉐프,VIP 손님에게 대접 할 달콤하고 신선한 디저트
8,1,석궁,기사,총알은 안들어 가지만 무언가라도 쏠 수 있는 무기
9,0,[이색 탐방 한걸음] '마법을 파는 가게',.,한적한 골목에 간판 없이 매일 운영되는 가게 이 가게는 마법을 판다고 합니다. 물론 신비한 물약이나 금지된 주문을 팔지는 않죠. 이 곳에서는 손님들의 물건을 받아 작은 추억의 상징품으로 제작 해주는 공방입니다. 추억이 담겼지만 이 형상이 모호하거나 보존하기 힘든 것들을 작은 액세서리 형태로 제작 해주는 곳이죠. 손님들은 이곳을 '마법을 파는 가게' 라고 부르며 큰 인기를 끌고 있습니다.
9,1,황금알,농부,황금알을 낳는 닭? 닭이 낳은 황금알?
9,1,위스키,바이커,오랜 라이딩 후 휴식하며 마시는 위스키
10,0,[IT 지금] Z세대의 어린시절 '주니어화이버' 리뉴얼된 서비스로 재 출시,.,Z세대 청년들의 어린시절 한번쯤은 접속해봤던 포털 사이트인 주니어화이버가 새롭게 리뉴얼 된다고 한다. 초록빛 클로버를 닮은 색깔에 깃털이 꽂혀있는 모자로 그때 그 기억을 담고 있으며 큰 인기를 끌었던 플래시 게임들을 다시 플레이 할수 있도록 준비 하되 현재에 맞는 보안 수준과 퀄리티를 끌어올리면서 향수는 유지하겠다. 라고 전했습니다.
10,1,써니사이드업,블랙맨,단백질 + 단백질 = 엄청 많은 단백질!
10,1,고글,바이커,마하의 속도에도 거뜬하게 라이딩 할 수 있는 고글
10,1,용 투구,어린아이,졸업식에서 착용할 눈에 띄는 멋진 모자
11,0,강아지 산책 하다 고양이 싸움에 끼어 봉변… 견주가 조심해야,.,최근 반려 동물들이 거리를 나서는 경우가 많습니다. 특히 시골에는 주택간의 대문이 열려있어 이런 사고가 잦은데요. 야생에서 오래 지내 싸움에 익숙한 고양이들이 다른 동물들을 공격하고 달아나 주민들의 불편함이 계속 되고 있습니다. 이에 경찰들은 집 문단속을 잘하고 음식물 쓰레기 분리를 잘 하는것이 사고 예방에 도움이 된다고 전했습니다.
11,1,훈장,블랙맨,동네 명예 미화원에게 주는 훈장
11,1,금붕어,마담,아주머님께 소개 해드릴 머리가 나빠도 작은 친구
11,1,골드푸딩,쉐프,부자 손님에게 판매 할 비싼 디저트
12,0,"[장인 이야기] 악기 하나에 약 5년, 오랜 세월이 담긴 리코더",.,"여기 터무니 없으면서도 고귀한 시간을 들여 악기를 만드는 장인이 있습니다. 나무를 다듬고 색을 칠하고 소리가 나는 리드(Lead) 부분을 제작 하기 까지 아주 공을 들여 리코더를 만듭니다. ""사람의 손이 닿는 악기를 사람 손으로 만들다 보니 부족함이 없도록 더 공을 들여야 하지요. 나무 막대기와 오랜 시간만 있으면 누구나 가능 하답니다."" 이 악기는 현재 제작되는 족족 박물관이나 세계적인 리코디스트에게 팔리고 있으며 일반인들이 구하기는 하늘의 별따기 라고 합니다."
12,1,열매 화분,농부,농부의 방에서 키울 작은 화분
12,1,비밀 주머니,마법사,뭐가 들어있는지 모르는 신비 한 것
12,1,낚시대,쉐프,제철 생선 재료를 직접 잡을 수 있는 도구
12,1,뮤직박스,엘프,직접 연주를 하지 않아도 음악이 나오는 물건
13,0,[8월 8일은 세계 고양이의 날],.,"국제동물복지기금(IFAW)이 고양이 인식 개선, 유기묘 입양, 오랜 기간 사람과 함께한 고양이의 탄생을 축하하기 위해 2002년 창설한 날로, 매년 8월 8일이다."
13,1,낡은 편지,마담,동네 아주머님이 잃어버리신 남편의 낡은 편지
13,1,과일 타르트,해적,나눠 먹기 좋은 달콤한 디저트
14,0,지난 12일 초등생 대상 전국 우드 아트 콘테스트 개최,.,"전국의 초등학생들을 대상으로 나무막대기만을 사용하여 작품을 만드는 대회가 열렸습니다. 다양한 작품들 사이에서도 우수한 성적을 거둔 작품을 소개 해드리겠습니다. 13살 B 군이 제작한 오로지 나무 막대기로만 만든 '비밀의 열쇠' 입니다. 해당 작품을 만든 B군은 ""좋아하는 사람에게 줄 선물이 담긴 상자의 열쇠에요. 설레고 비밀 스러워요.""라고 작품 설명을 전했습니다."
14,1,얇고 가벼운 금붙이,피피,나무 열쇠가 필요한 상자
14,1,피피의 방울,피피,피피가 잃어버린 방울
